indicador,pais,anio,valor
NY.GDP.PCAP.KD,CHL,2020,12680.7761524378
NY.GDP.PCAP.KD,CHL,2019,13631.9284885172
NY.GDP.PCAP.KD,CHL,2018,13763.0068844795
NY.GDP.PCAP.KD,CHL,2017,13473.3458532934
NY.GDP.PCAP.KD,CHL,2016,13505.097711133
NY.GDP.PCAP.KD,CHL,2015,13433.9202987032
NY.GDP.PCAP.KD,CHL,2014,13285.9540361192
NY.GDP.PCAP.KD,CHL,2013,13182.7329619856
NY.GDP.PCAP.KD,CHL,2012,12882.834417927
NY.GDP.PCAP.KD,CHL,2011,12252.8441074615
NY.GDP.PCAP.KD,CHL,2010,11649.2897090856
NY.GDP.PCAP.KD,CHL,2009,11116.4093443103
NY.GDP.PCAP.KD,CHL,2008,11356.0922105983
NY.GDP.PCAP.KD,CHL,2007,11051.3450717678
NY.GDP.PCAP.KD,CHL,2006,10611.6144012877
NY.GDP.PCAP.KD,CHL,2005,10104.4208391373
NY.GDP.PCAP.KD,CHL,2004,9642.37478651228
NY.GDP.PCAP.KD,CHL,2003,9130.7842621819
NY.GDP.PCAP.KD,CHL,2002,8810.69052712257
NY.GDP.PCAP.KD,CHL,2001,8632.0148244056
NY.GDP.PCAP.KD,CHL,2000,8465.35303258864
NY.GDP.PCAP.KD,CHL,1999,8161.45168872186
NY.GDP.PCAP.KD,CHL,1998,8287.45061096547
NY.GDP.PCAP.KD,CHL,1997,8058.94228801535
NY.GDP.PCAP.KD,CHL,1996,7605.28953010603
NY.GDP.PCAP.KD,CHL,1995,7201.13100361441
NY.GDP.PCAP.KD,CHL,1994,6688.29717704707
NY.GDP.PCAP.KD,CHL,1993,6461.73217350303
NY.GDP.PCAP.KD,CHL,1992,6151.76546454326
NY.GDP.PCAP.KD,CHL,1991,5606.86557277047
NY.GDP.PCAP.KD,CHL,1990,5290.53694835535
NY.GDP.PCAP.KD,CHN,2025,13793.2056196996
NY.GDP.PCAP.KD,CHN,2024,13119.1076099516
NY.GDP.PCAP.KD,CHN,2023,12483.9791101249
NY.GDP.PCAP.KD,CHN,2022,11830.298767861
NY.GDP.PCAP.KD,CHN,2021,11469.3174514512
NY.GDP.PCAP.KD,CHN,2020,10573.3794064211
NY.GDP.PCAP.KD,CHN,2019,10356.2924890582
NY.GDP.PCAP.KD,CHN,2018,9798.57890566402
NY.GDP.PCAP.KD,CHN,2017,9221.35045639842
NY.GDP.PCAP.KD,CHN,2016,8679.22528805041
