id,descripcion,categoria,unidad
166,Tasa de interés de LEBAC / LELIQ de 1 mes,Series.xlsm,En porcentaje nominal anual
167,Tasa de interés de LEBAC de 2 meses,Series.xlsm,En porcentaje nominal anual
168,Tasa de interés de LEBAC de 3 meses,Series.xlsm,En porcentaje nominal anual
169,Tasa de interés de LEBAC de 4 meses,Series.xlsm,En porcentaje nominal anual
170,Tasa de interés de LEBAC de 5 meses,Series.xlsm,En porcentaje nominal anual
171,Tasa de interés de LEBAC / LELIQ a 6 meses,Series.xlsm,En porcentaje nominal anual
172,Tasa de interés de LEBAC  de 7 meses,Series.xlsm,En porcentaje nominal anual
173,Tasa de interés de LEBAC  de 8 meses,Series.xlsm,En porcentaje nominal anual
174,Tasa de interés de LEBAC  de 9 meses,Series.xlsm,En porcentaje nominal anual
175,Tasa de interés de LEBAC  de 10 meses,Series.xlsm,En porcentaje nominal anual
176,Tasa de interés de LEBAC  de 11 meses,Series.xlsm,En porcentaje nominal anual
177,Tasa de interés de LEBAC  de 12 meses,Series.xlsm,En porcentaje nominal anual
178,Tasa de interés de LEBAC  de 18 meses,Series.xlsm,En porcentaje nominal anual
179,Tasa de interés de LEBAC  de 24 meses,Series.xlsm,En porcentaje nominal anual
180, Tasa de interés de LEBAC  ajustables por CER de 6 meses,Series.xlsm,En porcentaje nominal anual
181,Tasa de interés de LEBAC ajustables por CER de 12 meses,Series.xlsm,En porcentaje nominal anual
182,Tasa de interés de LEBAC ajustables por CER de 18 meses,Series.xlsm,En porcentaje nominal anual
183,Tasa de interés de LEBAC ajustables por CER de 24 meses,Series.xlsm,En porcentaje nominal anual
184,"Tasa de interés de LEBAC USD con liquidación en pesos, de 1 mes",Series.xlsm,En porcentaje nominal anual
185,"Tasa de interés de LEBAC USD con liquidación en pesos, de 6 meses",Series.xlsm,En porcentaje nominal anual
186,"Tasa de interés de LEBAC USD con liquidación en pesos, de 12 meses",Series.xlsm,En porcentaje nominal anual
187,Tasa de interés de LEBAC de 1 mes,Series.xlsm,En porcentaje nominal anual
188,Tasa de interés de LEBAC de 3 meses,Series.xlsm,En porcentaje nominal anual
189,Tasa de interés de LEBAC de 6 meses,Series.xlsm,En porcentaje nominal anual
190,Tasa de interés de LEBAC de 12 meses,Series.xlsm,En porcentaje nominal anual
191,Margen sobre BADLAR bancos privados de NOBAC de 9 meses,Series.xlsm,En porcentaje nominal anual
192,Margen sobre bancos privados de NOBAC de 12 meses ,Series.xlsm,En porcentaje nominal anual
193,Margen sobre BADLAR total de NOBAC de 2 años,Series.xlsm,En porcentaje nominal anual
194,Margen sobre BADLAR bancos privados de NOBAC de 2 años,Series.xlsm,En porcentaje nominal anual
195,Margen sobre tasa de politica monetaria de NOTALIQ en pesos de 190 días,Series.xlsm,En porcentaje nominal anual
196,"LEFI en cartera de entidades financieras, en valor técnico",Series.xlsm,En millones de ARS
197,M2 transaccional del sector privado,Series.xlsm,En millones de ARS
198,Otros,Series.xlsm,En millones de ARS
199,"Préstamos a los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Préstamos por tipo de titular,En miles de ARS
200,Préstamos a la administración central,Préstamos por tipo de titular,En miles de ARS
201,Préstamos a entidades descentralizadas,Préstamos por tipo de titular,En miles de ARS
202,Préstamos a los gobiernos provinciales,Préstamos por tipo de titular,En miles de ARS
203,Préstamos a los gobiernos municipales,Préstamos por tipo de titular,En miles de ARS
204,Préstamos a las corporaciones integubernamentales,Préstamos por tipo de titular,En miles de ARS
205,Préstamos a empresas y otros entes públicos nacionales,Préstamos por tipo de titular,En miles de ARS
206,Préstamos a empresas y otros entes públicos provinciales,Préstamos por tipo de titular,En miles de ARS
207,Préstamos a empresas y otros entes públicos municipales,Préstamos por tipo de titular,En miles de ARS
208,Préstamos a empresas y otros entes públicos intergubernamentales,Préstamos por tipo de titular,En miles de ARS
209,"Depósitos de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
210,Depósitos de la administración central,Depósitos por tipo de titular,En miles de ARS
211,Depósitos de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
212,Depósitos de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
213,Depósitos de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
214,Depósitos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
215,Depósitos de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
216,Depósitos de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
217,Depósitos de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
218,Depósitos de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
219,"Préstamos a los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Préstamos por tipo de titular,En miles de ARS
220,Préstamos a la administración central,Préstamos por tipo de titular,En miles de ARS
221,Préstamos a entidades descentralizadas,Préstamos por tipo de titular,En miles de ARS
222,Préstamos a los gobiernos provinciales,Préstamos por tipo de titular,En miles de ARS
223,Préstamos a los gobiernos municipales,Préstamos por tipo de titular,En miles de ARS
224,Préstamos a las corporaciones integubernamentales,Préstamos por tipo de titular,En miles de ARS
225,Préstamos a empresas y otros entes públicos nacionales,Préstamos por tipo de titular,En miles de ARS
226,Préstamos a empresas y otros entes públicos provinciales,Préstamos por tipo de titular,En miles de ARS
227,Préstamos a empresas y otros entes públicos municipales,Préstamos por tipo de titular,En miles de ARS
228,Préstamos a empresas y otros entes públicos intergubernamentales,Préstamos por tipo de titular,En miles de ARS
229,"Depósitos de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
230,Depósitos de la administración central,Depósitos por tipo de titular,En miles de ARS
231,Depósitos de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
232,Depósitos de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
233,Depósitos de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
234,Depósitos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
235,Depósitos de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
236,Depósitos de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
237,Depósitos de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
238,Depósitos de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
239,"Depósitos en cuentas corrientes de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
240,Depósitos en cuentas corrientes de la administración central,Depósitos por tipo de titular,En miles de ARS
241,Depósitos en cuentas corrientes de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
242,Depósitos en cuentas corrientes de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
243,Depósitos en cuentas corrientes de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
244,Depósitos en cuentas corrientes de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
245,Depósitos en cuentas corrientes de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
246,Depósitos en cuentas corrientes de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
247,Depósitos en cuentas corrientes de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
248,Depósitos en cuentas corrientes de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
249,"Depósitos en cajas de ahorro de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
250,Depósitos en caja de ahorros de la administración central,Depósitos por tipo de titular,En miles de ARS
251,Depósitos en caja de ahorros de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
252,Depósitos en caja de ahorros de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
253,Depósitos en caja de ahorros de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
254,Depósitos en caja de ahorros de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
255,Depósitos en caja de ahorros de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
256,Depósitos en caja de ahorros de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
257,Depósitos en caja de ahorros de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
258,Depósitos en caja de ahorros de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
259,"Depósitos a plazo fijo de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
260,Depósitos en plazo fijo de la administración central,Depósitos por tipo de titular,En miles de ARS
261,Depósitos en plazo fijo de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
262,Depósitos en plazo fijo de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
263,Depósitos en plazo fijo de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
264,Depósitos en plazo fijo de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
265,Depósitos en plazo fijo de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
266,Depósitos en plazo fijo de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
267,Depósitos en plazo fijo de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
268,Depósitos en plazo fijo de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
269,"Otros depósitos de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
270,Otros depósitos de la administración central,Depósitos por tipo de titular,En miles de ARS
271,Otros depósitos de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
272,Otros depósitos de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
273,Otros depósitos de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
274,Otros depósitos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
275,Otros depósitos de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
276,Otros depósitos de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
277,Otros depósitos de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
278,Otros depósitos de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
279,"Depósitos en cuentas corrientes de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
280,Depósitos en cuentas corrientes de la administración central,Depósitos por tipo de titular,En miles de ARS
281,Depósitos en cuentas corrientes de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
282,Depósitos en cuentas corrientes de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
283,Depósitos en cuentas corrientes de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
284,Depósitos en cuentas corrientes de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
285,Depósitos en cuentas corrientes de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
286,Depósitos en cuentas corrientes de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
287,Depósitos en cuentas corrientes de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
288,Depósitos en cuentas corrientes de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
289,"Depósitos en cajas de ahorro de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
290,Depósitos en caja de ahorros de la administración central,Depósitos por tipo de titular,En miles de ARS
291,Depósitos en caja de ahorros de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
292,Depósitos en caja de ahorros de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
293,Depósitos en caja de ahorros de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
294,Depósitos en caja de ahorros de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
295,Depósitos en caja de ahorros de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
296,Depósitos en caja de ahorros de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
297,Depósitos en caja de ahorros de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
298,Depósitos en caja de ahorros de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
299,"Depósitos a plazo fijo de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
300,Depósitos en plazo fijo de la administración central,Depósitos por tipo de titular,En miles de ARS
301,Depósitos en plazo fijo de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
302,Depósitos en plazo fijo de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
303,Depósitos en plazo fijo de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
304,Depósitos en plazo fijo de los gobiernos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
305,Depósitos en plazo fijo de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
306,Depósitos en plazo fijo de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
307,Depósitos en plazo fijo de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
308,Depósitos en plazo fijo de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
309,"Otros depósitos de los gobiernos nacional, provinciales, municipales y corporaciones intergubernamentales",Depósitos por tipo de titular,En miles de ARS
310,Otros depósitos de la administración central,Depósitos por tipo de titular,En miles de ARS
311,Otros depósitos de las entidades descentralizadas,Depósitos por tipo de titular,En miles de ARS
312,Otros depósitos de los gobiernos provinciales,Depósitos por tipo de titular,En miles de ARS
313,Otros depósitos de los gobiernos municipales,Depósitos por tipo de titular,En miles de ARS
314,Otros depósitos de corporaciones integubernamentales,Depósitos por tipo de titular,En miles de ARS
315,Otros depósitos de empresas y otros entes públicos nacionales,Depósitos por tipo de titular,En miles de ARS
316,Otros depósitos de empresas y otros entes públicos provinciales,Depósitos por tipo de titular,En miles de ARS
317,Otros depósitos de empresas y otros entes públicos municipales,Depósitos por tipo de titular,En miles de ARS
318,Otros depósitos de empresas y otros entes públicos intergubernamentales,Depósitos por tipo de titular,En miles de ARS
319,Utilización de fondos unificados de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
320,Total de préstamos a la Ciudad Autónoma de Buenos Aires,Préstamos por tipo de titular,En miles de ARS
321,Total de depósitos de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
322,Utilización de fondos unificados de la provincia de Buenos Aires,Préstamos por tipo de titular,En miles de ARS
323,Total de préstamos a la provincia de Buenos Aires,Préstamos por tipo de titular,En miles de ARS
324,Total de depósitos de la provincia de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
325,Utilización de fondos unificados de la provincia de Catamarca,Préstamos por tipo de titular,En miles de ARS
326,Total de préstamos a la provincia de Catamarca,Préstamos por tipo de titular,En miles de ARS
327,Total de depósitos de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
328,Utilización de fondos unificados de la provincia de Córdoba,Préstamos por tipo de titular,En miles de ARS
329,Total de préstamos a la provincia de Córdoba,Préstamos por tipo de titular,En miles de ARS
330,Total de depósitos de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
331,Utilización de fondos unificados de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
332,Total de préstamos a la provincia de Corrientes,Préstamos por tipo de titular,En miles de ARS
333,Total de depósitos de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
334,Utilización de fondos unificados de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
335,Total de préstamos a la provincia de Chaco,Préstamos por tipo de titular,En miles de ARS
336,Total de depósitos de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
337,Utilización de fondos unificados de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
