fecha,id,valor
2003-02-19,78,19.51
2003-02-19,81,0.1
2003-02-19,107,932.0
2003-02-19,108,700.0
2003-02-19,118,191.0
2003-02-19,119,663.0
2003-02-19,120,27.0
2003-02-19,121,28.0
2003-02-19,122,1.0
2003-02-19,123,14.0
2003-02-19,124,484.0
2003-02-19,125,1408.0
2003-02-19,158,0.0
2003-02-20,77,13.93
2003-02-20,78,10.67
2003-02-20,81,-0.2
2003-02-20,107,940.0
2003-02-20,108,706.0
2003-02-20,118,190.0
2003-02-20,119,663.0
2003-02-20,120,27.0
2003-02-20,121,28.0
2003-02-20,122,1.0
2003-02-20,123,15.0
2003-02-20,124,486.0
2003-02-20,125,1410.0
2003-02-20,158,0.0
2003-02-21,77,37.41
2003-02-21,78,30.26
2003-02-21,81,2.9
2003-02-21,107,943.0
2003-02-21,108,711.0
2003-02-21,118,190.0
2003-02-21,119,654.0
2003-02-21,120,27.0
2003-02-21,121,28.0
2003-02-21,122,1.0
2003-02-21,123,16.0
2003-02-21,124,483.0
2003-02-21,125,1399.0
2003-02-21,158,0.0
2003-02-24,77,4.73
2003-02-24,78,14.05
2003-02-24,81,-0.9
2003-02-24,107,944.0
2003-02-24,108,714.0
2003-02-24,118,191.0
2003-02-24,119,653.0
2003-02-24,120,27.0
2003-02-24,121,28.0
2003-02-24,122,1.0
2003-02-24,123,16.0
2003-02-24,124,483.0
2003-02-24,125,1399.0
2003-02-24,158,0.0
2003-02-25,77,22.27
2003-02-25,78,19.91
2003-02-25,81,11.9
2003-02-25,107,937.0
2003-02-25,108,715.0
2003-02-25,118,190.0
2003-02-25,119,655.0
2003-02-25,120,28.0
2003-02-25,121,28.0
2003-02-25,122,1.0
2003-02-25,123,16.0
2003-02-25,124,483.0
2003-02-25,125,1401.0
2003-02-25,158,0.0
2003-02-26,77,25.9
2003-02-26,78,8.24
2003-02-26,81,14.0
2003-02-26,107,930.0
2003-02-26,108,709.0
2003-02-26,118,190.0
2003-02-26,119,649.0
